City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Wanning,CN,297.54,18.8003,110.3967,Paradise Hotel
1,Bredasdorp,ZA,288.92,-34.5322,20.0403,Bredasdorp Country Manor
2,Avarua,CK,297.18,-21.2078,-159.775,Paradise Inn
3,Hilo,US,296.64,19.7297,-155.09,Hilo Hawaiian Hotel
4,Saint George,US,294.5,37.1041,-113.5841,Best Western Plus Abbey Inn
5,Kodiak,US,275.98,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
6,Mataura,NZ,276.19,-46.1927,168.8643,Ellie's Villa
8,Jamestown,US,277.6,42.097,-79.2353,Hampton Inn & Suites Jamestown
11,Hermanus,ZA,290.82,-34.4187,19.2345,Misty Waves Boutique Hotel
12,Punta Arenas,CL,281.21,-53.15,-70.9167,Hotel Hain
13,East London,ZA,291.67,-33.0153,27.9116,Tu Casa
14,Ponta Do Sol,PT,297.66,32.6667,-17.1,Hotel do Campo
15,Rikitea,PF,298.77,-23.1203,-134.9692,People ThankYou
16,Tuktoyaktuk,CA,259.3,69.4541,-133.0374,End of The Road Ltd.
18,Tuy Hoa,VN,297.13,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
19,Atocha,BO,285.37,-20.9333,-66.2333,ALOJAMIENTO RESTAURANT BARQUITO
21,Mizdah,LY,293.59,31.4451,12.9801,محمدالمبروك الاريقط
22,Kawalu,ID,296.44,-7.3817,108.2082,West Jontor
23,Oskarshamn,SE,283.14,57.2645,16.4484,Best Western Hotel Corallen
24,Mount Gambier,AU,286.1,-37.8333,140.7667,The Commodore
26,Ulaangom,MN,279.88,49.9811,92.0667,Achit Nuur Hotel & Restaurant
27,Mayo,US,286.76,38.8876,-76.5119,Resorts Resource Group International
28,Itoman,JP,292.16,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
29,Tabas,IR,293.78,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
31,Verkhnevilyuysk,RU,272.13,63.4453,120.3167,Gostinitsa Mila
32,Mar Del Plata,AR,290.86,-38.0023,-57.5575,Gran Hotel Mar del Plata
33,Vao,NC,297.93,-22.6667,167.4833,Hotel Kou-Bugny
34,Tasiilaq,GL,275.24,65.6145,-37.6368,The Red House
35,Tiksi,RU,251.08,71.6872,128.8694,Arktika
36,Hearst,CA,270.08,49.6835,-83.6665,Companion
37,Puerto Ayora,EC,298.58,-0.7393,-90.3518,Finch Bay Galapagos Hotel
38,Cangucu,BR,292.48,-31.395,-52.6756,Tchê Parque
42,San Rafael,AR,296.92,-34.6177,-68.3301,Hotel San Rafael
44,Hobart,AU,289.41,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
45,Chuy,UY,294.36,-33.6971,-53.4616,Nuevo Hotel Plaza
46,Longyearbyen,SJ,267.06,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
47,Bluff,NZ,276.37,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
51,Ribeira Grande,PT,291.37,38.5167,-28.7,Quinta da Meia Eira
52,Pisco,PE,293.72,-13.7,-76.2167,Hotel San Isidro Oficial
53,Saint-Philippe,RE,298.92,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
55,Charters Towers,AU,292.0,-20.1,146.2667,Cattleman's Rest Motor Inn
56,Vardo,NO,276.71,70.3705,31.1107,Vardø Hotel AS
57,Upernavik,GL,252.53,72.7868,-56.1549,Café de Upernavik
58,Hami,CN,287.71,42.8,93.45,Laoyutang Resort
59,Nikolskoye,RU,278.1,59.7035,30.7861,Tourist House - Sablino
60,Arraial Do Cabo,BR,298.07,-22.9661,-42.0278,Pousada Porto Praia
63,Igarka,RU,257.29,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
64,Vaini,TO,298.24,-21.2,-175.2,Keleti Beach Resort
66,Torbay,CA,280.79,47.6666,-52.7314,Gallows Cove
67,Newport,GB,290.46,51.5877,-2.9984,ibis budget Newport
69,College,US,267.59,64.8569,-147.8028,Pike's Waterfront Lodge
70,San Cristobal,VE,292.98,7.7669,-72.225,Pirineos
71,Atuona,PF,299.28,-9.8,-139.0333,Villa Enata
73,Kapaa,US,295.08,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
74,Busselton,AU,287.12,-33.65,115.3333,Observatory Guest House
77,Ushuaia,AR,280.69,-54.8,-68.3,Albatross Hotel
79,Port Alfred,ZA,289.92,-33.5906,26.891,The Halyards Hotel
81,Cape Town,ZA,291.12,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
82,Stanghelle,NO,286.99,60.5528,5.7357,Fishing Paradise
83,Luderitz,NA,292.41,-26.6481,15.1594,LÜDERITZ NEST HOTEL
85,Lipari,IT,285.0,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
86,Mackay,AU,293.53,-21.15,149.2,International Lodge Motel
87,Urengoy,RU,260.33,65.9667,78.3667,Gostinnitsa Medveditsa
88,Vestmannaeyjar,IS,279.69,63.4427,-20.2734,Glamping & Camping
89,Faya,SA,293.72,18.3851,42.4509,املاك خالد الشعشوع
90,Thohoyandou,ZA,288.09,-22.9456,30.485,Masili Guesthouse & Conference
92,Laibin,CN,286.29,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
93,Pevek,RU,256.61,69.7008,170.3133,Severnoye Zoloto
94,Neya,RU,271.98,58.2972,43.8681,Gostinitsa Dlya Arsa
96,Bitung,ID,298.62,1.4451,125.1824,K2 Lembeh
98,Gusev,RU,278.84,54.5922,22.1997,Hotel Imperial
99,Iqaluit,CA,252.98,63.7506,-68.5145,Frobisher Inn
100,Groningen,NL,289.9,53.25,6.75,Bed&Breakfast Lageland
101,Coos Bay,US,281.06,43.3665,-124.2179,Best Western Holiday Hotel
104,Yatou,CN,285.33,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
105,Khatanga,RU,260.68,71.9667,102.5,"""Khatanga"""
107,Half Moon Bay,US,287.4,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
110,Aklavik,CA,259.35,68.2191,-135.0107,Aklavik Inn
111,Lebu,CL,288.45,-37.6167,-73.65,Hostal Las Lilas
113,Bethel,US,282.58,41.3712,-73.414,Courtyard by Marriott Danbury
116,Mayskiy,RU,288.82,47.6931,40.1025,Dio Lakrua
117,Klaksvik,FO,282.66,62.2266,-6.589,Airbnb rooms
118,Djambala,CG,297.74,-2.5447,14.7533,Hotel Ravin D'or
119,Hofn,IS,281.11,64.2539,-15.2082,Hótel Höfn
120,Kununurra,AU,298.14,-15.7667,128.7333,Hotel Kununurra
122,Altay,CN,281.08,47.8667,88.1167,Jinqiao Hotel
123,Barrow,US,251.16,71.2906,-156.7887,King Eider Inn
124,Severo-Kurilsk,RU,271.29,50.6789,156.125,Kak Doma
125,Viedma,AR,293.84,-40.8135,-62.9967,Hotel Cristal
127,Pacific Grove,US,286.49,36.6177,-121.9166,Lovers Point Inn
129,Camabatela,AO,292.71,-8.1881,15.375,Comércio e Prestação de Serviços
131,Lompoc,US,289.73,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
133,Phalaborwa,ZA,290.57,-23.943,31.1411,Bothabelo Bed and Breakfast
134,Winnemucca,US,284.18,40.973,-117.7357,Winners Inn Casino
135,Bageshwar,IN,292.41,29.85,79.7667,Dangwal house
136,Norman Wells,CA,260.6,65.282,-126.8329,Heritage Hotel
137,Komsomolskiy,UZ,297.12,40.4272,71.7189,Ikathouse
138,Sisimiut,GL,266.58,66.9395,-53.6735,Hotel Sisimiut
139,Los Llanos De Aridane,ES,294.01,28.6585,-17.9182,Valle Aridane
141,Hutchinson,US,283.12,38.0608,-97.9298,Hampton Inn Hutchinson
143,Singkawang,ID,298.13,0.9,109.0,Capital O 1822 Wahana Inn
144,Carnarvon,AU,293.19,-24.8667,113.6333,Hospitality Carnarvon
145,Victoria,HK,295.55,22.2855,114.1577,Mini Hotel Central
146,Makarov,RU,272.81,48.6333,142.8,Gostinitsa ''yana''
148,New Norfolk,AU,289.22,-42.7826,147.0587,The Shingles Riverside Cottages
149,Qaanaaq,GL,249.26,77.484,-69.3632,Qaanaaq Hotel
150,Monticello,US,279.87,45.3055,-93.7941,Super 8 by Wyndham Monticello
152,Geraldton,AU,287.38,-28.7667,114.6,Broadwater Mariner Resort
154,Remontnoye,RU,287.77,46.5614,43.6501,Remontnoe
155,Castro,BR,292.71,-24.7911,-50.0119,CHACARA BAILLY
156,Torbat-E Jam,IR,286.9,35.244,60.6225,White building
158,Ilulissat,GL,266.16,69.2167,-51.1,Hotel Arctic
159,Sao Joao Do Paraiso,BR,294.3,-15.3136,-42.0144,Avenida Palace Hotel
160,Bambous Virieux,MU,299.29,-20.3428,57.7575,Casa Tia Villa
161,Bozhou,CN,284.65,33.8772,115.7703,Haitian Hotel
162,Yellowknife,CA,260.13,62.456,-114.3525,The Explorer Hotel
164,Ylivieska,FI,278.59,64.0833,24.55,hotel Käenpesä
165,Sochi,RU,287.2,43.6,39.7303,Bounty Hotel
166,Sioux Lookout,CA,270.49,50.1001,-91.917,Knobby's Fly-In Camps
167,Zhigansk,RU,269.55,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
170,Nuuk,GL,271.49,64.1835,-51.7216,Vandrehuset
171,Medea,DZ,288.41,36.2642,2.7539,Hôtel M'Sallah
172,Astoria,US,282.56,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
174,Coolum Beach,AU,292.1,-26.5333,153.1,Coolum Beach Resort
175,Kloulklubed,PW,296.43,7.0419,134.2556,Storyboard Beach Resort
177,Ancud,CL,291.05,-41.8697,-73.8203,Hotel Arena Gruesa
178,Bilibino,RU,262.24,68.0546,166.4372,Gostinitsa Severyanka
179,Ahipara,NZ,293.42,-35.1667,173.1667,Ahipara Holiday Park
180,Hay River,CA,260.13,60.8156,-115.7999,Ptarmigan Inn
183,Husavik,IS,278.08,66.0449,-17.3389,Bjarnabúð
185,Sao Felix Do Xingu,BR,299.64,-6.6447,-51.995,Rio Xingu Camping
186,Meulaboh,ID,299.42,4.1363,96.1285,Kost Pria
187,Manokwari,ID,299.04,-0.8667,134.0833,Swiss Belhotel Manokwari
189,Zabaykalsk,RU,275.75,49.6333,117.3167,Zheleznyy Mir
191,Juneau,US,278.62,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
192,Fairbanks,US,269.34,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
193,Codrington,AU,286.24,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
194,Batavia,US,280.92,41.85,-88.3126,Comfort Inn & Suites Geneva - West Chicago
195,Qasigiannguit,GL,266.29,68.8193,-51.1922,Almost HOME
196,Narsaq,GL,275.27,60.9167,-46.05,Sleep In Narsaq
197,Chapais,CA,271.03,49.7834,-74.8492,Hôtel Opémiska
198,Stonewall,CA,270.94,50.1344,-97.3268,Rockwood Motor Inn & Motel
200,Tommot,RU,265.4,58.9564,126.2925,Gostinitsa Tommot
203,Tezu,IN,291.65,27.9167,96.1667,Circuit House
204,Coquimbo,CL,290.0,-29.9533,-71.3436,Hotel San Juan
205,Heilbad Heiligenstadt,DE,285.74,51.3833,10.1333,Hotel am Vitalpark
207,Asau,RO,277.75,46.4333,26.4,Casa Mika Ciobanus
209,Santa Maria,BR,294.8,-29.6842,-53.8069,Hotel Morotin
210,Kaitangata,NZ,279.09,-46.2817,169.8464,Kaitangata Motor Camp
212,Hanstholm,DK,281.31,57.1167,8.6167,Hotel Hanstholm
213,Vylkove,UA,280.8,45.4021,29.586,Pelican City
215,Sungairaya,ID,298.88,0.7,108.9,Rumah Kuku Moimoi Shelly
216,Havre-Saint-Pierre,CA,273.35,50.2334,-63.5986,Auberge Niapiskau
217,Saldanha,ZA,289.11,-33.0117,17.9442,Blue Bay Lodge
218,Cherskiy,RU,253.64,68.75,161.3,Gostinitsa
220,Porto Belo,BR,298.25,-27.1578,-48.5531,Costa Verde Beach Hotel
221,Margate,GB,289.88,51.3813,1.3862,Premier Inn Margate hotel
222,Bereda,ES,290.6,43.2686,-7.5406,Pazo de Verdes
224,Chapleau,CA,274.16,47.8405,-83.4034,Nemegosenda Lake Lodge
225,Silver City,US,294.13,32.7701,-108.2803,Copper Manor Motel
226,Guerrero Negro,MX,292.76,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
227,Novosokolniki,RU,275.55,56.3463,30.1578,"Gostinitsa ""Novosokol'nicheskogo Mpzhkkh"""
228,Graaff-Reinet,ZA,291.1,-32.2522,24.5308,Rietjiesbos Self Catering
229,Vanimo,PG,299.18,-2.6741,141.3028,Vahmoneh Lodge Vanimo
230,Devils Lake,US,269.14,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
231,Lagoa,PT,287.45,39.05,-27.9833,Casa Das Faias
233,Plon,DE,288.23,54.1667,10.4167,Hotel Plöner See by Tulip Inn by Tulip Inn
234,Masuda,JP,284.11,34.6667,131.85,Masuda Green Hotel Morris
236,Eugene,US,280.67,44.0521,-123.0867,Valley River Inn
237,Limoges,FR,294.08,45.75,1.3333,La Gratade
240,San Vicente,AR,297.25,-26.6167,-54.1333,Complejo Turístico Farelluk
241,Genhe,CN,269.33,50.7833,121.5167,Companionship Hotel
242,Kupang,ID,299.21,-10.1667,123.5833,Hotel On The Rock by Prasanthi
243,Vyartsilya,RU,276.39,62.1764,30.693,Erakkoranta
244,Honningsvag,NO,278.01,70.9821,25.9704,Nordkapp Vandrerhjem
247,Sumbe,AO,299.22,-11.2061,13.8437,Hotel Ritz Sumbe
249,Boavita,CO,288.41,6.3303,-72.5851,Hospedaje Andi
252,Tabuk,PH,295.72,17.4189,121.4443,Golden Berries Hotel and Convention
253,Longkou,CN,286.28,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
254,Jumla,NP,283.82,29.2747,82.1838,Royal Garden Hotel
255,Coihaique,CL,284.49,-45.5752,-72.0662,Diego De Almagro Coyhaique
256,Russell,US,297.54,32.3502,-85.1999,Macs
258,Praia,CV,299.45,14.9215,-23.5087,LT Aparthotel
259,Krasnogorsk,RU,278.4,55.8225,37.3181,"Hotel ""Academy"""
260,Ranong,TH,299.9,9.9658,98.6348,Tinidee Hotel@Ranong
