City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kandrian,-6.2167,149.55,298.47,88,97,2.12,PG,2022-04-17 15:51:17
1,Port Alfred,-33.5906,26.891,292.69,78,97,3.24,ZA,2022-04-17 15:47:51
2,Menongue,-14.6585,17.691,294.73,82,77,2.11,AO,2022-04-17 15:51:18
3,Fukue,32.6881,128.8419,288.65,46,98,3.78,JP,2022-04-17 15:51:18
4,Vaini,-21.2,-175.2,298.24,94,40,2.57,TO,2022-04-17 15:51:18
5,Leeton,-34.5667,146.4,294.18,43,100,6.17,AU,2022-04-17 15:51:19
6,Arraial Do Cabo,-22.9661,-42.0278,299.13,83,75,5.14,BR,2022-04-17 15:51:19
7,Cape Town,-33.9258,18.4232,294.32,71,0,6.26,ZA,2022-04-17 15:49:13
8,Tura,25.5198,90.2201,294.08,81,2,4.0,IN,2022-04-17 15:51:20
9,Vila Franca Do Campo,37.7167,-25.4333,291.38,80,75,4.75,PT,2022-04-17 15:51:20
10,Meulaboh,4.1363,96.1285,299.56,84,97,1.19,ID,2022-04-17 15:51:20
11,Khatanga,71.9667,102.5,261.42,96,99,4.96,RU,2022-04-17 15:50:34
12,Fare,-16.7,-151.0167,300.08,73,6,5.02,PF,2022-04-17 15:51:21
13,Bati,11.1833,40.0167,297.75,25,87,2.56,ET,2022-04-17 15:51:21
14,Sitka,57.0531,-135.33,276.09,70,75,0.0,US,2022-04-17 15:47:57
15,Ushuaia,-54.8,-68.3,281.96,71,75,2.57,AR,2022-04-17 15:49:31
16,Rikitea,-23.1203,-134.9692,298.79,65,3,5.53,PF,2022-04-17 15:51:21
17,Albany,42.6001,-73.9662,277.69,72,64,4.92,US,2022-04-17 15:44:51
18,Hobart,-42.8794,147.3294,289.96,73,100,2.06,AU,2022-04-17 15:48:27
19,Mataura,-46.1927,168.8643,276.19,96,0,0.96,NZ,2022-04-17 15:51:22
20,Vuktyl,63.8567,57.3094,271.07,83,86,2.74,RU,2022-04-17 15:51:22
21,Bluff,-46.6,168.3333,276.37,83,3,2.35,NZ,2022-04-17 15:51:23
